extraction_date,source_system,source_file,source_row_number,employee_id,first_name,last_name,department_code,department_name,employment_type,salary,hourly_rate,overtime_hourly_rate,consulting_firm_tax_id,consulting_firm_legal_name,performance_rating_2024,performance_rating_2023,performance_rating_2022,performance_rating_2021,performance_rating_2020,turnover_flag
2026-06-29,legacy_hr_system,employees.csv,1,1,Luca,Gonzalez,D001,Finance,Permanent,134901.42,,,,,Good,Good,Fair,Good,Fair,0
2026-06-29,legacy_hr_system,employees.csv,2,2,Victoria,Diaz,D004,Sales,Permanent,115852.07,,,,,Excellent,Good,Good,Good,Fair,0
2026-06-29,legacy_hr_system,employees.csv,3,3,Abril,Peralta,D004,Sales,Permanent,139430.66,,,,,Good,Fair,Excellent,Fair,Good,0
2026-06-29,legacy_hr_system,employees.csv,4,4,Uma,Rodriguez,D002,Human Resources,Permanent,165690.9,,,,,Fair,Excellent,Good,Good,Good,0
2026-06-29,legacy_hr_system,employees.csv,5,5,Ciro,Gonzalez,D001,Finance,Contractor,,2812.68,4265.86,30-12345678-9,Alpha Consulting,Poor,Good,Good,Fair,Good,0
2026-06-29,legacy_hr_system,employees.csv,6,6,Delfina,Gimenez,D005,Operations,Permanent,167376.38,,,,,Excellent,Good,Fair,Poor,Fair,1
2026-06-29,legacy_hr_system,employees.csv,7,7,Martina,Diaz,D004,Sales,Permanent,143023.04,,,,,Good,Good,Good,Good,Good,1
2026-06-29,legacy_hr_system,employees.csv,8,8,Lara,Molina,D001,Finance,Contractor,,2624.42,5042.56,30-87654321-0,Beta Consulting,Good,Good,Good,Good,Poor,0
2026-06-29,legacy_hr_system,employees.csv,9,9,Delfina,Nuñez,D002,Human Resources,Contractor,,2629.27,4034.27,30-12345678-9,Alpha Consulting,Good,Excellent,Good,Good,Good,1
2026-06-29,legacy_hr_system,employees.csv,10,10,Alma Valentina,Gonzalez,D003,IT,Permanent,127258.87,,,,,Good,Fair,Good,Excellent,Excellent,0
2026-06-29,legacy_hr_system,employees.csv,11,11,Luciana,Quiroga,D005,Operations,Permanent,62601.59,,,,,Good,Fair,Good,Good,Poor,0
2026-06-29,legacy_hr_system,employees.csv,12,12,Alma,Fernandez,D001,Finance,Contractor,,1620.07,3937.71,30-12345678-9,Alpha Consulting,Excellent,Excellent,Good,Good,Good,0
2026-06-29,legacy_hr_system,employees.csv,13,13,Maximiliano,Romero,D004,Sales,Permanent,89615.07,,,,,Poor,Fair,Excellent,Fair,Good,0
2026-06-29,legacy_hr_system,employees.csv,14,14,Catalina,Gomez,D003,IT,Contractor,,3251.4,3591.98,30-11223344-5,Gamma Consulting,Excellent,Good,Good,Poor,Fair,0
2026-06-29,legacy_hr_system,employees.csv,15,15,Thiago Leonel,Juarez,D005,Operations,Contractor,,1870.16,5965.65,30-12345678-9,Alpha Consulting,Fair,Good,Good,Good,Excellent,0
2026-06-29,legacy_hr_system,employees.csv,16,16,Micaela,Ojeda,D005,Operations,Contractor,,2819.38,4567.53,30-12345678-9,Alpha Consulting,Good,Good,Excellent,Good,Poor,0
